Gender,Occupation,Education,Home Ownership,Having Money / Jewelry / Livestock / Other Savings,Roof Type,Wall Type,Floor Type,Source of Lighting,Cooking Fuel,Source of Drinking Water,Have Defecation facilities,Beneficiaries,Stunting Risk
Laki-laki,Wiraswasta,Tamat SD/sederajat,Milik Sendiri,Ya,Kayu/Sirap,Kayu/Papan,Semen,Non-Listrik,Listrik/Gas,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,1
Laki-laki,Petani,Tamat SD/sederajat,Menumpang,Tidak,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Semen,Non-Listrik,Listrik/Gas,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,0
Perempuan,Petani,Tidak/belum sekolah,Menumpang,Tidak,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Tanah,Non-Listrik,Arang/Kayu,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Ya,1
Laki-laki,Petani,Tamat SD/sederajat,Menumpang,Tidak,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Bambu,Non-Listrik,Listrik/Gas,Sumur Tidak Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,0
Laki-laki,Petani,Tamat SD/sederajat,Menumpang,Tidak,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Bambu,Non-Listrik,Arang/Kayu,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Ya,0
Laki-laki,Tidak/belum bekerja,Tidak tamat SD/sederajat,Menumpang,Tidak,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Bambu,Non-Listrik,Arang/Kayu,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Ya,1
Laki-laki,Petani,Tidak tamat SD/sederajat,Milik Sendiri,Tidak,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Bambu,Non-Listrik,Arang/Kayu,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,1
Laki-laki,Petani,Tamat SD/sederajat,Milik Sendiri,Tidak,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Semen,Non-Listrik,Listrik/Gas,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,0
Laki-laki,Nelayan,Tidak tamat SD/sederajat,Menumpang,Tidak,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Bambu,Non-Listrik,Arang/Kayu,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Ya,1
Laki-laki,Petani,Tidak tamat SD/sederajat,Milik Sendiri,Tidak,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Semen,Non-Listrik,Listrik/Gas,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,1
Perempuan,Wiraswasta,Tamat Perguruan Tinggi,Milik Sendiri,Tidak,Kayu/Sirap,Tembok,Semen,Non-Listrik,Listrik/Gas,Sumur Bor,"Ya, dengan Septic Tank",Tidak,0
Laki-laki,Petani,Tamat SD/sederajat,Milik Sendiri,Tidak,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Semen,Non-Listrik,Listrik/Gas,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,1
Laki-laki,Petani,Tamat SD/sederajat,Milik Sendiri,Tidak,Jerami/Ijuk/Rumbia/Daun-daunan,Kayu/Papan,Bambu,Non-Listrik,Listrik/Gas,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,0
Laki-laki,Wiraswasta,Tamat SMA/sederajat,Milik Sendiri,Ya,Jerami/Ijuk/Rumbia/Daun-daunan,Kayu/Papan,Kayu/Papan,Non-Listrik,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Tidak,1
Laki-laki,Petani,Tidak/belum sekolah,Menumpang,Tidak,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Semen,Non-Listrik,Listrik/Gas,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,0
Laki-laki,Petani,Tamat SD/sederajat,Menumpang,Tidak,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Bambu,Non-Listrik,Listrik/Gas,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,1
Laki-laki,Nelayan,Tamat SD/sederajat,Milik Sendiri,Ya,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Bambu,Non-Listrik,Arang/Kayu,Sumur Terlindung,"Ya, dengan Septic Tank",Ya,0
Laki-laki,Wiraswasta,Tidak/belum sekolah,Menumpang,Tidak,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Tanah,Non-Listrik,Arang/Kayu,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Ya,0
Laki-laki,Nelayan,Tidak/belum sekolah,Milik Sendiri,Tidak,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Bambu,Non-Listrik,Arang/Kayu,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,1
Laki-laki,Petani,Tamat SD/sederajat,Milik Sendiri,Tidak,Jerami/Ijuk/Rumbia/Daun-daunan,Kayu/Papan,Kayu/Papan,Non-Listrik,Listrik/Gas,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,1
Perempuan,Petani,Tidak/belum sekolah,Menumpang,Ya,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Tanah,Non-Listrik,Arang/Kayu,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Ya,0
